date,open,high,low,close
16/03/2020 17:00,6.4153,6.4179,6.4135,6.4136
16/03/2020 17:10,6.4136,6.4154,6.4097,6.4147
16/03/2020 17:20,6.4147,6.4163,6.4118,6.4122
16/03/2020 17:30,6.4122,6.4142,6.4102,6.4125
16/03/2020 17:40,6.4125,6.4158,6.4124,6.4139
16/03/2020 17:50,6.4139,6.4225,6.4136,6.4217
16/03/2020 18:00,6.4217,6.4252,6.4194,6.4224
16/03/2020 18:10,6.4224,6.4249,6.42,6.4226
16/03/2020 18:20,6.4225,6.425,6.4213,6.4246
16/03/2020 18:30,6.4246,6.4265,6.4226,6.4261
16/03/2020 18:40,6.4261,6.4274,6.4257,6.4257
16/03/2020 18:50,6.4257,6.4269,6.4255,6.4256
16/03/2020 19:00,6.4256,6.4311,6.4243,6.4295
16/03/2020 19:10,6.4295,6.4313,6.4267,6.4296
16/03/2020 19:20,6.4296,6.4385,6.4287,6.4385
16/03/2020 19:30,6.4385,6.4387,6.4338,6.4363
16/03/2020 19:40,6.4363,6.437,6.4338,6.4347
16/03/2020 19:50,6.4347,6.4393,6.434,6.4393
16/03/2020 20:00,6.4393,6.4422,6.4376,6.4391
16/03/2020 20:10,6.4391,6.4395,6.4381,6.4387
16/03/2020 20:20,6.4387,6.439,6.4376,6.4377
16/03/2020 20:30,6.4377,6.4385,6.4351,6.4373
16/03/2020 20:40,6.4373,6.4391,6.437,6.4384
16/03/2020 20:50,6.4384,6.4391,6.4362,6.4369
16/03/2020 21:00,6.4368,6.4379,6.4362,6.4375
16/03/2020 21:10,6.4376,6.439,6.4368,6.4372
16/03/2020 21:20,6.4372,6.4386,6.4367,6.4385
16/03/2020 21:30,6.4385,6.4396,6.4368,6.438
16/03/2020 21:40,6.438,6.4394,6.4375,6.4383
16/03/2020 21:50,6.4383,6.4408,6.4376,6.4405
16/03/2020 22:00,6.4405,6.4415,6.4353,6.4373
16/03/2020 22:10,6.4373,6.44,6.4371,6.4395
16/03/2020 22:20,6.4395,6.4407,6.4389,6.4392
16/03/2020 22:30,6.4392,6.4399,6.4385,6.4395
